;Rank;Artist;Album;Date;Genres;RYM Rating;Ratings;Reviews
29;30;Kanye West;Yeezus;18 June 2013;Experimental Hip Hop, Industrial Hip Hop;3.84;55,003;455
30;31;Viktor Vaughn;Vaudeville Villain;16 September 2003;Abstract Hip Hop, East Coast Hip Hop;4.01;14,653;86
31;32;Death Grips;Bottomless Pit;6 May 2016;Industrial Hip Hop, Abstract Hip Hop, Experimental Hip Hop;3.93;29,813;138
32;33;Earl Sweatshirt;Some Rap Songs;30 November 2018;Abstract Hip Hop, Experimental Hip Hop, Drumless;3.90;31,196;238
33;34;JPEGMAFIA;Scaring the Hoes;24 March 2023;Experimental Hip Hop, Hardcore Hip Hop;3.91;28,620;414
34;35;Nujabes;Modal Soul;11 November 2005;Jazz Rap, Instrumental Hip Hop;3.98;15,223;76
35;36;Gang Starr;Moment of Truth;31 March 1998;Boom Bap, East Coast Hip Hop;4.01;7,738;100
36;37;J.I.D;The Forever Story;26 August 2022;Southern Hip Hop, Conscious Hip Hop;3.96;14,731;129
37;38;The Roots;Things Fall Apart;23 February 1999;East Coast Hip Hop;3.97;12,999;102
38;39;Beastie Boys;Paul's Boutique;25 July 1989;East Coast Hip Hop;3.93;18,217;273
39;40;Injury Reserve;By the Time I Get to Phoenix;15 September 2021;Experimental Hip Hop, Glitch Hop, Experimental;3.90;20,523;275
40;41;Public Enemy;It Takes a Nation of Millions to Hold Us Back;14 April 1988;Political Hip Hop, East Coast Hip Hop, Hardcore Hip Hop;3.94;16,157;280
41;42;Lil Ugly Mane;Mista Thug Isolation;11 February 2012;Memphis Rap, Southern Hip Hop;3.93;17,102;92
42;43;Kanye West;The Life of Pablo;14 February 2016;Pop Rap, Experimental Hip Hop;3.80;48,360;334
43;44;Racionais MC's;Sobrevivendo no inferno;October 1997;Conscious Hip Hop, Boom Bap, Hardcore Hip Hop;3.99;2,605;20
44;45;Three-6 Mafia;Mystic Stylez;25 May 1995;Memphis Rap, Horrorcore, Southern Hip Hop;3.95;10,211;68
45;46;Danger Mouse;Cheat Codes;12 August 2022;East Coast Hip Hop, Conscious Hip Hop;3.93;13,753;118
46;47;Raekwon;Only Built 4 Cuban Linx...;1 August 1995;East Coast Hip Hop, Gangsta Rap, Boom Bap;3.94;11,234;175
47;48;Organized Konfusion;Stress: The Extinction Agenda;16 August 1994;East Coast Hip Hop, Boom Bap, Jazz Rap;3.97;5,624;79
48;49;OutKast;Stankonia;31 October 2000;Southern Hip Hop;3.90;19,585;153
49;50;Mach-Hommy;The G.A.T...;28 September 2017;Jazz Rap, East Coast Hip Hop, Conscious Hip Hop;3.96;3,659;28
50;51;billy woods;Aethiopes;8 April 2022;Abstract Hip Hop, Experimental Hip Hop, East Coast Hip Hop;3.92;12,775;102
51;52;Deltron 3030;Deltron 3030;23 May 2000;West Coast Hip Hop, Abstract Hip Hop, Experimental Hip Hop;3.91;13,764;162
52;53;Black Star;Mos Def & Talib Kweli Are Black Star;29 September 1998;East Coast Hip Hop, Conscious Hip Hop, Boom Bap;3.92;10,638;147
53;54;Travis Scott;Rodeo;4 September 2015;Trap, Southern Hip Hop;3.84;25,896;158
54;55;MF DOOM;Operation: Doomsday;19 October 1999;Abstract Hip Hop, East Coast Hip Hop;3.87;21,065;141
55;56;Big L;Lifestylez ov da Poor & Dangerous;28 March 1995;East Coast Hip Hop, Boom Bap, Hardcore Hip Hop;3.92;9,015;147
56;57;Common;Be;24 May 2005;Conscious Hip Hop;3.91;11,395;135
57;58;Racionais MC's;Nada como um dia após o outro dia;27 October 2002;Hardcore Hip Hop, Conscious Hip Hop;3.95;1,579;5
58;59;Danny Brown;XXX;15 August 2011;Hardcore Hip Hop;3.85;20,610;125
59;60;Clipse;Hell Hath No Fury;28 November 2006;Southern Hip Hop, Gangsta Rap;3.91;9,337;109
60;61;JPEGMAFIA;Veteran;19 January 2018;Experimental Hip Hop, Glitch Hop, Industrial Hip Hop;3.81;29,633;166
61;62;Gravediggaz;6 Feet Deep;9 August 1994;Horrorcore, East Coast Hip Hop;3.92;6,861;104
62;63;JPEGMAFIA;All My Heroes Are Cornballs;13 September 2019;Experimental Hip Hop, Glitch Hop;3.81;26,181;180
63;64;Jay-Z;Reasonable Doubt;25 June 1996;East Coast Hip Hop, Boom Bap, Gangsta Rap;3.89;13,304;175
64;65;Pusha T;DAYTONA;25 May 2018;Hardcore Hip Hop, Southern Hip Hop;3.82;26,257;159
65;66;The Pharcyde;Bizarre Ride II the Pharcyde;24 November 1992;West Coast Hip Hop, Boom Bap, Jazz Rap;3.89;8,984;114
66;67;Ghostface Killah;Supreme Clientele;8 February 2000;East Coast Hip Hop, Hardcore Hip Hop, Abstract Hip Hop;3.89;8,967;113
67;68;De La Soul;Buhloone Mindstate;21 September 1993;East Coast Hip Hop, Jazz Rap, Conscious Hip Hop;3.92;4,148;53
68;69;Digable Planets;Blowout Comb;18 October 1994;Jazz Rap, East Coast Hip Hop, Conscious Hip Hop;3.90;7,389;91
69;70;Jay-Z;The Blueprint;11 September 2001;East Coast Hip Hop, Chipmunk Soul;3.86;14,129;162
70;71;billy woods;Maps;5 May 2023;Abstract Hip Hop, Jazz Rap, Conscious Hip Hop;3.88;10,483;89
71;72;UGK;Ridin' Dirty;30 July 1996;Dirty South, Gangsta Rap, Southern Hip Hop;3.90;5,544;75
72;73;Ghostface Killah;Ironman;29 October 1996;East Coast Hip Hop, Hardcore Hip Hop, Boom Bap;3.90;6,853;99
73;74;Cannibal Ox;The Cold Vein;15 May 2001;Abstract Hip Hop, East Coast Hip Hop, Experimental Hip Hop;3.87;9,617;151
74;75;Tiro de Gracia;Ser hümano!!;August 1997;Latin Rap, Conscious Hip Hop;3.91;969;8
75;76;De La Soul;Stakes Is High;2 July 1996;East Coast Hip Hop, Conscious Hip Hop;3.90;3,417;38
76;77;Snoop Doggy Dogg;Doggystyle;23 November 1993;G-Funk, West Coast Hip Hop, Gangsta Rap;3.85;12,982;176
77;78;Farazi v Kayra;Hayalet Islığı;13 September 2013;Boom Bap, Abstract Hip Hop;3.89;1,618;14
78;79;Tyler, the Creator;Call Me If You Get Lost;25 June 2021;West Coast Hip Hop;3.76;32,693;271
79;80;King Geedorah;Take Me to Your Leader;17 June 2003;Abstract Hip Hop, East Coast Hip Hop;3.85;12,802;81
80;81;Run the Jewels;Run the Jewels 2;27 October 2014;Hardcore Hip Hop;3.81;20,466;118
81;82;billy woods;Hiding Places;29 March 2019;Abstract Hip Hop, East Coast Hip Hop;3.86;10,206;52
82;83;Death Grips;N---as on the Moon: The Powers That B Disc 1;8 June 2014;Experimental Hip Hop, Glitch Hop, Abstract Hip Hop;3.81;19,148;106
83;84;The Roots;Game Theory;29 August 2006;East Coast Hip Hop;3.88;5,827;71
84;85;Denzel Curry;TA13OO;27 July 2018;Southern Hip Hop, Trap;3.78;25,892;140
85;86;Freddie Gibbs & Madlib;Bandana;28 June 2019;Gangsta Rap;3.81;18,565;98
86;87;Dr. Dre;The Chronic;15 December 1992;G-Funk, West Coast Hip Hop, Gangsta Rap;3.83;15,677;260
87;88;clipping.;Visions of Bodies Being Burned;23 October 2020;Horrorcore, Industrial Hip Hop, Experimental Hip Hop;3.81;15,254;127
88;89;Kanye West;Graduation;11 September 2007;Pop Rap;3.71;47,196;312
89;90;Nujabes;Metaphorical Music;21 August 2003;Jazz Rap, Instrumental Hip Hop;3.85;9,926;54
90;91;Sagopa Kajmer;Bir Pesimistin Gözyaşları;2003;Boom Bap, Abstract Hip Hop;3.88;642;8
91;92;Denzel Curry;Melt My Eyez See Your Future;25 March 2022;Conscious Hip Hop, Southern Hip Hop;3.80;19,313;156
92;93;Public Enemy;Fear of a Black Planet;10 April 1990;Political Hip Hop, East Coast Hip Hop, Conscious Hip Hop;3.85;8,733;145
93;94;Pete Rock & C.L. Smooth;The Main Ingredient;8 November 1994;East Coast Hip Hop, Boom Bap, Conscious Hip Hop;3.87;3,129;51
94;95;De La Soul;3 Feet High and Rising;23 January 1989;East Coast Hip Hop, Conscious Hip Hop;3.83;12,238;194
95;96;Canserbero;Muerte;22 March 2012;Conscious Hip Hop, Latin Rap, Hardcore Hip Hop;3.87;1,016;18
96;97;Little Simz;GREY Area;1 March 2019;UK Hip Hop, Conscious Hip Hop;3.81;14,609;107
97;98;Little Brother;The Minstrel Show;13 September 2005;Conscious Hip Hop, Southern Hip Hop;3.87;2,504;32
98;99;The Roots;Illadelph Halflife;24 September 1996;East Coast Hip Hop, Boom Bap;3.86;5,084;54
99;100;Goodie Mob;Soul Food;7 November 1995;Southern Hip Hop, Conscious Hip Hop;3.85;3,713;54
100;101;Danny Brown;Quaranta;17 November 2023;Conscious Hip Hop;3.84;5,862;43
101;102;Jay-Z;The Black Album;14 November 2003;East Coast Hip Hop;3.82;10,362;122
102;103;A Tribe Called Quest;People's Instinctive Travels and the Paths of Rhythm;17 April 1990;East Coast Hip Hop, Jazz Rap;3.82;11,631;103
103;104;The Pharcyde;Labcabincalifornia;14 November 1995;West Coast Hip Hop, Boom Bap, Jazz Rap;3.85;4,009;63
104;105;Lil Ugly Mane;Third Side of Tape;29 April 2015;Instrumental Hip Hop, Experimental Hip Hop, Sound Collage;3.83;6,719;60
105;106;Farazi v Kayra;Sarhoş Palavraları ve Nahoş Nidalar;2007;Boom Bap, Abstract Hip Hop, Conscious Hip Hop;3.87;372;1
106;107;BROCKHAMPTON;Saturation II;25 August 2017;Pop Rap, West Coast Hip Hop;3.75;23,421;102
107;108;Kendrick Lamar;Mr. Morale & The Big Steppers;13 May 2022;Conscious Hip Hop, West Coast Hip Hop;3.71;32,458;345
108;109;Dälek;From Filthy Tongue of Gods and Griots;6 August 2002;Industrial Hip Hop, Abstract Hip Hop, Experimental Hip Hop;3.83;7,557;56
109;110;Big K.R.I.T.;4eva Is a Mighty Long Time;27 October 2017;Southern Hip Hop;3.82;8,545;51
110;111;Aesop Rock;Integrated Tech Solutions;10 November 2023;Abstract Hip Hop, Conscious Hip Hop;3.85;1,723;15
111;112;Boldy James;Manger on McNichols;22 July 2020;Jazz Rap, Gangsta Rap, Conscious Hip Hop;3.84;4,345;24
112;113;BROCKHAMPTON;Saturation III;15 December 2017;Pop Rap, West Coast Hip Hop;3.75;22,023;90
113;114;Pete Rock & C.L. Smooth;Mecca and the Soul Brother;9 June 1992;East Coast Hip Hop, Boom Bap, Jazz Rap;3.84;4,670;81
114;115;Beastie Boys;Ill Communication;31 May 1994;East Coast Hip Hop;3.82;9,404;148
115;116;Koopsta Knicca;Da Devil's Playground: Underground Solo;26 October 1999;Memphis Rap, Southern Hip Hop;3.84;3,721;22
116;117;Quasimoto;The Unseen;13 June 2000;West Coast Hip Hop, Abstract Hip Hop, Jazz Rap;3.81;9,580;87
117;118;Blu & Exile;Below the Heavens;14 August 2007;Conscious Hip Hop, West Coast Hip Hop, Boom Bap;3.83;4,917;56
118;119;Mobb Deep;Hell on Earth;19 November 1996;East Coast Hip Hop, Gangsta Rap, Boom Bap;3.83;3,994;57
119;120;Digable Planets;Reachin' (A New Refutation of Time and Space);9 February 1993;Jazz Rap, East Coast Hip Hop;3.82;5,435;68
120;121;Scarface;The Diary;18 October 1994;Gangsta Rap, Southern Hip Hop;3.83;3,777;50
121;122;Mach-Hommy;Dumpmeister;2 September 2017;East Coast Hip Hop, Abstract Hip Hop, Hardcore Hip Hop;3.85;1,035;8
122;123;Dälek;Absence;8 February 2005;Industrial Hip Hop, Conscious Hip Hop, Abstract Hip Hop;3.81;7,314;84
123;124;billy woods;History Will Absolve Me;10 April 2012;East Coast Hip Hop, Hardcore Hip Hop, Abstract Hip Hop;3.82;4,921;27
124;125;CunninLynguists;A Piece of Strange;22 November 2005;Southern Hip Hop, Conscious Hip Hop;3.81;5,801;71
125;126;Playboi Carti;Die Lit;11 May 2018;Trap, Southern Hip Hop, Cloud Rap;3.70;27,482;232
126;127;Tommy Wright III;Ashes 2 Ashes, Dust 2 Dust;1994;Memphis Rap, Gangsta Rap, Southern Hip Hop;3.83;2,892;10
127;128;The Rockwood Escape Plan;Dreamcast Summer Songs;27 February 2012;Instrumental Hip Hop, Plunderphonics;3.82;3,630;25
128;129;Gang Starr;Hard to Earn;8 March 1994;East Coast Hip Hop, Boom Bap;3.83;3,521;53
129;130;V.O.S.;Come - N - 2 - My World;1997;Memphis Rap, Southern Hip Hop;3.85;665;11
130;131;Parteum;Raciocínio quebrado;2004;Abstract Hip Hop, Conscious Hip Hop;3.85;474;3
131;132;Kool G Rap;4, 5, 6;12 September 1995;East Coast Hip Hop, Boom Bap, Gangsta Rap;3.83;1,771;43
132;133;The Ballers;A Day Late and a Dollar Short;16 September 1997;Southern Hip Hop, Gangsta Rap, G-Funk;3.85;521;6
133;134;Kool G Rap & DJ Polo;Live and Let Die;24 November 1992;East Coast Hip Hop, Gangsta Rap, Hardcore Hip Hop;3.82;1,855;38
134;135;Armand Hammer;We Buy Diabetic Test Strips;29 September 2023;Experimental Hip Hop, Abstract Hip Hop, East Coast Hip Hop;3.81;5,409;36
135;136;Fugees;The Score;13 February 1996;East Coast Hip Hop, Conscious Hip Hop, Boom Bap;3.79;8,395;123
136;137;Earl Sweatshirt;I Don't Like Shit, I Don't Go Outside;23 March 2015;Abstract Hip Hop, West Coast Hip Hop;3.74;19,477;87
137;138;Da Koopsta Knicca;The Devil's Playground;1994;Memphis Rap, Southern Hip Hop;3.84;518;4
138;139;Farazi v Kayra;Sarhoş Palavraları ve Bekar Evinde Kör Sinekler;2008;Boom Bap, Abstract Hip Hop;3.90;307;1
139;140;De La Soul;De La Soul Is Dead;13 May 1991;East Coast Hip Hop, Conscious Hip Hop;3.80;5,036;84
140;141;Souls of Mischief;93 'Til Infinity;23 September 1993;West Coast Hip Hop, Jazz Rap, Boom Bap;3.81;4,348;56
141;142;Pete Rock;Center of Attention;2003;East Coast Hip Hop, Boom Bap, Jazz Rap;3.82;2,212;29
142;143;Mach-Hommy;HBO (Haitian Body Odor);17 August 2016;East Coast Hip Hop, Abstract Hip Hop, Boom Bap;3.82;2,417;8
143;144;O.C.;Word...Life;18 October 1994;East Coast Hip Hop, Boom Bap;3.82;2,083;39
144;145;Sabotage;Rap é compromisso;2001;Conscious Hip Hop, Boom Bap;3.83;692;8
145;146;UGK;Super Tight...;30 August 1994;Southern Hip Hop, Gangsta Rap;3.82;2,202;26
146;147;Ghostface Killah;Fishscale;28 March 2006;East Coast Hip Hop, Hardcore Hip Hop;3.80;5,172;96
147;148;OutKast;Southernplayalisticadillacmuzik;26 April 1994;Southern Hip Hop;3.78;9,949;98
148;149;Big Pun;Capital Punishment;28 April 1998;East Coast Hip Hop, Boom Bap, Gangsta Rap;3.80;3,847;67
149;150;The Roots;undun;6 December 2011;East Coast Hip Hop, Conscious Hip Hop;3.79;5,890;68
150;151;Ol' Dirty Bastard;Return to the 36 Chambers: The Dirty Version;28 March 1995;East Coast Hip Hop, Hardcore Hip Hop, Experimental Hip Hop;3.78;7,675;127
151;152;Common;Like Water for Chocolate;28 March 2000;Conscious Hip Hop;3.79;5,277;72
152;153;Redman;Muddy Waters;10 December 1996;East Coast Hip Hop, Boom Bap, Hardcore Hip Hop;3.80;2,276;39
153;154;Redman;Dare Iz a Darkside;22 November 1994;East Coast Hip Hop, Boom Bap, Hardcore Hip Hop;3.81;2,006;41
154;155;Ice Cube;Death Certificate;31 October 1991;West Coast Hip Hop, Political Hip Hop, Gangsta Rap;3.79;5,165;95
155;156;Tommy Wright III;Runnin-n-Gunnin;1995;Memphis Rap, Gangsta Rap, Southern Hip Hop;3.81;1,378;5
156;157;Eric B. & Rakim;Follow the Leader;25 July 1988;East Coast Hip Hop, Boom Bap, Hardcore Hip Hop;3.80;4,123;71
157;158;Death Grips;No Love Deep Web;1 October 2012;Hardcore Hip Hop, Abstract Hip Hop, Experimental Hip Hop;3.68;29,296;141
158;159;Lil Ugly Mane;Oblivion Access;18 December 2015;Experimental Hip Hop, Abstract Hip Hop;3.76;8,728;55
159;160;N.O.D.;N---az of Destruction;1996;Memphis Rap, Southern Hip Hop;3.80;2,799;14
160;161;8Ball & MJG;On Top of the World;1 November 1995;Southern Hip Hop, Gangsta Rap;3.81;1,341;21
161;162;Juggaknots;The Juggaknots;1996;East Coast Hip Hop, Boom Bap;3.81;1,175;22
162;163;Freddie Gibbs;Alfredo;29 May 2020;Gangsta Rap;3.73;16,198;96
163;164;Nas;King's Disease III;11 November 2022;East Coast Hip Hop, Boom Bap, Conscious Hip Hop;3.77;6,518;55
164;165;Slum Village;Fantastic, Vol. 2;13 June 2000;Jazz Rap;3.79;3,052;37
165;166;MIKE;Burning Desire;13 October 2023;Abstract Hip Hop, East Coast Hip Hop;3.79;3,696;28
166;167;Kendrick Lamar;DAMN.;14 April 2017;Conscious Hip Hop, West Coast Hip Hop;3.60;46,730;287
167;168;2Pac;Me Against the World;14 March 1995;West Coast Hip Hop, Conscious Hip Hop;3.75;9,009;194
168;169;Run the Jewels;RTJ4;3 June 2020;Hardcore Hip Hop, Political Hip Hop;3.71;16,115;113
169;170;Nas;It Was Written;2 July 1996;East Coast Hip Hop, Boom Bap, Gangsta Rap;3.75;10,575;133
170;171;El-P;Fantastic Damage;14 May 2002;Experimental Hip Hop, Abstract Hip Hop, East Coast Hip Hop;3.77;5,214;62
171;172;McKinley Dixon;Beloved! Paradise! Jazz!?;2 June 2023;Jazz Rap, Conscious Hip Hop;3.76;6,635;59
172;173;Makaveli;The Don Killuminati: The 7 Day Theory;5 November 1996;West Coast Hip Hop, Gangsta Rap;3.77;4,854;81
173;174;Jeru the Damaja;The Sun Rises in the East;24 May 1994;East Coast Hip Hop, Boom Bap, Conscious Hip Hop;3.77;4,109;72
174;175;Common Sense;Resurrection;4 October 1994;Conscious Hip Hop, Boom Bap, Jazz Rap;3.77;4,193;72
175;176;Reflection Eternal;Train of Thought;17 October 2000;Conscious Hip Hop, East Coast Hip Hop, Boom Bap;3.78;2,996;56
176;177;Black Alien;Babylon by Gus: Volume I - O ano do macaco;2004;Conscious Hip Hop;3.80;590;5
177;178;Little Simz;NO THANK YOU;12 December 2022;Conscious Hip Hop, UK Hip Hop;3.75;8,640;67
178;179;Smif-n-Wessun;Dah Shinin';10 January 1995;East Coast Hip Hop, Boom Bap, Hardcore Hip Hop;3.78;2,059;39
179;180;Prince Paul;A Prince Among Thieves;23 February 1999;East Coast Hip Hop, Boom Bap;3.78;1,590;37
180;181;;Rawkus Presents: Soundbombing II;18 May 1999;Boom Bap, Hardcore Hip Hop;3.80;672;9
181;182;Juicy (Juice Manne) Jay;"Vol. 9mm ""It's On""";1994;Memphis Rap, Southern Hip Hop;3.79;834;8
182;183;Camp Lo;Uptown Saturday Night;28 January 1997;East Coast Hip Hop, Jazz Rap, Boom Bap;3.78;2,820;38
183;184;Heltah Skeltah;Nocturnal;18 June 1996;East Coast Hip Hop, Boom Bap, Hardcore Hip Hop;3.78;1,551;34
184;185;BK;Castelos & ruínas;21 March 2016;Conscious Hip Hop;3.78;860;1
185;186;Nas;The Lost Tapes;24 September 2002;East Coast Hip Hop, Conscious Hip Hop, Hardcore Hip Hop;3.77;4,831;68
186;187;Kingpin Skinny Pimp;King of da Playaz Ball;19 March 1996;Memphis Rap, Gangsta Rap, Southern Hip Hop;3.78;1,979;10
187;188;Annea Lockwood;There Existed an Addiction to Blood;18 October 2019;Industrial Hip Hop, Horrorcore;3.71;13,028;86
188;189;Triple Six Mafia;Smoked Out Loced Out;1994;Memphis Rap, Southern Hip Hop, Gangsta Rap;3.78;1,593;9
189;190;Company Flow;Funcrusher Plus;28 July 1997;Abstract Hip Hop, East Coast Hip Hop, Experimental Hip Hop;3.75;4,671;63
190;191;Aesop Rock;Labor Days;18 September 2001;Abstract Hip Hop, East Coast Hip Hop, Conscious Hip Hop;3.74;7,303;99
191;192;Roc Marciano;Reloaded;13 November 2012;East Coast Hip Hop, Gangsta Rap, Drumless;3.77;1,659;10
192;193;Main Source;Breaking Atoms;3 January 1991;East Coast Hip Hop, Boom Bap, Conscious Hip Hop;3.77;2,801;50
193;194;Yayayi;Yayayi;30 September 2013;Chopped and Screwed, Glitch Hop, Experimental Hip Hop;3.75;3,166;31
194;195;Black Moon;Enta da Stage;19 October 1993;East Coast Hip Hop, Boom Bap, Hardcore Hip Hop;3.76;3,208;72
195;196;Tommy Wright III;On the Run;1996;Memphis Rap, Gangsta Rap, Southern Hip Hop;3.77;1,581;10
196;197;Eminem;The Marshall Mathers LP;23 May 2000;Hardcore Hip Hop;3.67;22,348;338
197;198;Moor Mother;Brass;11 December 2020;Abstract Hip Hop, Experimental Hip Hop, East Coast Hip Hop;3.75;5,494;29
198;199;Eric B. & Rakim;Paid In Full;7 July 1987;East Coast Hip Hop, Boom Bap;3.73;8,732;179
199;200;Organized Konfusion;Organized Konfusion;29 October 1991;East Coast Hip Hop, Jazz Rap, Boom Bap;3.77;1,958;43
200;201; Ptitsu Yem [Птицу Емъ];Давай забудем о морали;April 2012;Abstract Hip Hop, Comedy Rap;3.77;850;8
201;202;Death Grips;Year of the Snitch;22 June 2018;Experimental Hip Hop, Abstract Hip Hop;3.65;24,494;157
202;203;IAM;L'école du micro d'argent;18 March 1997;French Hip Hop, Boom Bap, Conscious Hip Hop;3.76;1,454;25
203;204;Mach-Hommy;Dump Gawd: Hommy Edition;7 June 2017;Drumless, East Coast Hip Hop, Abstract Hip Hop;3.78;852;6
204;205;Mac Miller;Swimming;3 August 2018;Pop Rap, Alternative R&B;3.71;12,389;51
205;206;Gang Starr;Daily Operation;5 May 1992;East Coast Hip Hop, Conscious Hip Hop, Boom Bap;3.76;3,265;54
206;207;The Coup;Steal This Album;10 November 1998;Political Hip Hop, West Coast Hip Hop, Conscious Hip Hop;3.76;1,617;31
207;208;Dano;Istmo;20 February 2019;Boom Bap, Abstract Hip Hop;3.79;363;6
208;209;Ultramagnetic MC's;Critical Beatdown;4 October 1988;East Coast Hip Hop, Boom Bap, Hardcore Hip Hop;3.75;2,976;67
209;210;Ice Cube;AmeriKKKa's Most Wanted;16 May 1990;West Coast Hip Hop, Gangsta Rap, Political Hip Hop;3.73;6,521;116
210;211;Aesop Rock;The Impossible Kid;29 April 2016;Abstract Hip Hop, East Coast Hip Hop;3.72;7,635;72
211;212;The Notorious B.I.G.;Life After Death;25 March 1997;East Coast Hip Hop, Gangsta Rap;3.73;7,696;109
212;213;Mach-Hommy;Luh Hertz;15 September 2017;Jazz Rap, Conscious Hip Hop, East Coast Hip Hop;3.77;869;6
213;214;Redman;Whut? Thee Album;22 September 1992;East Coast Hip Hop, Hardcore Hip Hop, Boom Bap;3.75;2,733;43
214;215;Pharoahe Monch;Internal Affairs;19 October 1999;East Coast Hip Hop, Boom Bap, Hardcore Hip Hop;3.75;2,296;45
215;216;E SENS;The Anecdote;27 August 2015;Boom Bap, Hip Hop;3.76;697;5
216;217;Jay-Z;4:44;30 June 2017;East Coast Hip Hop;3.69;12,898;85
217;218;Lunatic;Mauvais œil;September 2000;French Hip Hop, Boom Bap, Hardcore Hip Hop;3.76;522;9
218;219;Makiza;Aerolineas Makiza;1999;Conscious Hip Hop, Latin Rap;3.78;378;5
219;220;Coin locker kid;Hailstorm & Maelstrom;3 March 2015;Experimental Hip Hop, Experimental, Abstract Hip Hop;3.75;540;7
220;221;Grammatik;Światła miasta;30 November 2000;Conscious Hip Hop;3.75;1,072;2
221;222;Benny the Butcher;Tana Talk 3;23 November 2018;East Coast Hip Hop, Gangsta Rap, Hardcore Hip Hop;3.74;3,110;15
222;223;Cities Aviv;GUM;22 May 2020;Experimental Hip Hop, Abstract Hip Hop, Drumless;3.75;1,167;7
223;224;Beastie Boys;Check Your Head;21 April 1992;East Coast Hip Hop;3.72;7,932;119
224;225;Lupe Fiasco;Lupe Fiasco's Food & Liquor;19 September 2006;Conscious Hip Hop, Pop Rap;3.72;6,306;86
225;226;The Geto Boys;The Geto Boys;1990;Southern Hip Hop, Gangsta Rap, Horrorcore;3.75;1,578;17
226;227;Facção Central;A marcha fúnebre prossegue;2001;Conscious Hip Hop, Hardcore Hip Hop;3.89;255;4
