name;id
james smith;31398
cecil ordonez;31400
dave richards;31401
galbert spence;31402
mike ramsey;31403
stephen stuart;31404
micah robinson;31406
dj quest;31438
andrew ross kushin;31439
albert mathias;31441
saul williams;6889
chris eddleton;31472
jerome wilson jordan;31474
nioka;31475
kwame brandt pierce;31476
roni size;27612
onallee;27622
dynamite mc;27643
si john;27651
dj die;31457
dj suv;31458
rob merrill;31465
francis hylton;30261
steve spacek;31517
morgan zarate;31519
edmund cavill;31539
nick phillips;31545
terry callier;5895
chris kibble;5896
dave barnard;5899
jim mullen;5902
gary plumley;5903
bosco de oliveira;24306
dave trigwell;28944
stuart duncan;3032
ben castle;7282
omar sosa;8181
velroy bailey;26155
hawi gondwe;31528
samia hammer;31529
arnie somogyi;31533
christopher ballin;31534
matteo sagese;31535
jim hunt;31537
gerardo nunez;31548
perico sambeat;31551
eva duran;31553
el cepillo;31555
israel galvan;31557
tom schröder;31552
frank möbus;31554
rudi mahall;31562
raul rekow;1372
azdru;31603
ulises "uli" bella;31634
sheffer bruton;31638
wil-dog;31640
justin "el nino" poree;31643
jiro yamaguchi;31644
kanetic source;31645
dj spinobi;31646
isabel gilberto;31622
antonio guillherme borges;31625
diego gutman;31627
masaharu shimizu;31629
paulo levi silveira teixeira;31630
lilian vieira;31633
stefan kruger;31635
stefan schmid;31637
claus tofft;31639
has bangert;31641
kid sublime;31631
joel shearer;485
alanis morissette;11181
gary novak;20679
mark stephens;23363
nick lashley;31682
chris chaney;31686
audrey nugent;31665
charity hair;31666
amy lindop;31667
jonathan atkinson;31668
dean tidey;31669
guy davis;31670
gerry meehan;31671
giles martin;31672
garrison hawk;338
tricky;2523
gareth bowen;2533
wayne nunes;9288
perry melius;26467
ambersunshower;31679
mark thwaite;31683
liliana mota ferreira;31722
oli hartung;31728
dominik alig;31741
mago flück;31743
marcel blatti;31744
andy jenks;31726
corin dingley;31698
helen white;31706
wendy stubbs;31699
martin barnard;31703
peter wilde;31730
jim allen;31731
alison goldfrapp;9172
davide rossi;9174
rowan oliver;9175
will gregory;31714
andy davis;31716
han stubbe;28557
simon lenski;28560
roel van camp;28561
adrian lenski;31739
benedikt lenski;31748
janek kowalski;31753
yiulukusu gipsi;31754
karoline kamosi;31755
manuel bravo;31758
julien amey;31779
michel blanc;31781
david gow;5549
malcolm middleton;31729
gary miller;31740
aidan moffat;31742
lewis turner;31746
jónsi;5408
kjartan sveinsson;5412
orri dyrasson;31757
georg holm;31761
saam schlamminger;10741
sussan deyhim;27595
karsh kale;31806
reza derakshani;31812
dawn buckholz avery;31814
talvin singh;5402
cleveland watkiss;31805
class sandbothe;31822
sagarika mukherjee;31824
jame banbury;31826
richard johnstone;31827
shri;31798
dj badmarsh;31800
michele drees;31801
uk apache;31802
ursula rucker;28924
tim motzer;31880
jim hamilton;31881
matthew john herbert;5611
dani siciliano;10831
philip parnel;31851
tom barman;5590
guy van nueten;31929
david gray;9521
clune;31925
tim bradshaw;31926
rob malone;31928
fred demilliac;31963
serge morattel;31969
pascal jean;31971
stephane mayer;31973
olivier uldry;31974
renato di paolo;31976
stef kamil carlens;31972
bjorn eriksson;31975
aarich jespers;31986
tom pintens;31987
mirko banovic;31989
pj harvey;6813
eric drew feldman;31990
rob ellis;31991
tim farthing;31993
margaret fiedler;31995
benji b;32029
fontella bass;16803
john ellis;18074
jason swinscoe;31996
tom chant;32007
phil france;32009
luke flowers;32011
peezee;32012
robin mullarkey;8597
neil cowley;12036
crispin taylor;22307
henry binns;32023
sam hardaker;32024
sia furler;32042
sophie barker;32050
mozez wright;32057
dedi madden;32058
yvonne john lewis;32063
marissa muhammad;32065
nick van gelder;32015
jacko peake;32020
jim robins;32022
george double;32032
lil' sci;32143
id 4 winds;32145
inspector willabee;32146
tariq l;32148
ray parker, jr.;1182
finga thing;32118
steve brown;32135
veba;32136
danny ward;32137
sneaky;32138
chris cruiks;32139
roger wickham;32140
spikey t;32141
ollie brown;1203
mark walker;25604
funky gutiervez;32131
imani;32133
etienne de crecy;32202
félix buxton;32185
simon ratcliffe;32219
bellinda james;32221
cassie watson;32223
mandy senior;32225
damien peachy;32226
kelly briggs;32227
jorge batista;32228
ademilde costa;32229
roger sanchez;33660
burr johnson;31419
al payson;31420
thierry arpino;31421
gary moore;2641
darrin mooney;2670
vic martin;3815
pete rees;29672
larry carlton;4557
steve lukather;19531
brian may;24057
rick jackson;27681
chris kent;27683
gary ferguson;31435
terry taylor;10156
bill wyman;13363
georgie fame;17169
beverly skeete;19325
frank mead;20590
nick payn;20592
albert lee;22036
mike sanchez;31485
janis hoyte;31486
graham road;31488
jimmy page;508
robert plant;3745
mike watts;31511
ian jennings;31513
chris spedding;9017
johnny "spazz" hatton;31478
jon cleary;395
ray herrmann;31482
charlie peterson;31484
bernie dresel;31480
anita dobson;60222
john;60223
emily ruth may;60224
sonny burgess;31494
little milton;13142
billy lee riley;31467
martin wenk;11417
joseph burns;31556
john convertino;31561
jacob ferreira valenzuela;31577
volker zander;31584
paul johnson niehaus;31586
david campbell;522
david brown;1461
lyle workman;6334
roger manning;31611
david ralicke;31614
jon birdsong;31618
indrizzo indrizzo;31620
johari funches penny;31623
glenys rogers;31626
justin meldal-johnsen;31628
printz board;760
tim "izo" orindgreff;762
nikka costa;31565
satnam ramgotra;31581
joshua lopez;31583
caleb spear;31585
darren ¨venus¨ floyd;31590
latisha crawford;31592
musiic galloway;31594
eddie harsch;17072
rich robinson;31636
chris robinson;31650
steve steve gorman;31653
audley freed;31656
andy hess;31658
portia griffin;31659
mona lisa young;31661
neil young;79
ralph molina;31673
franck sampedro;31674
william talbot;31675
pegi young;31676
astrid young;31677
van morrison;2484
pete hurley;31705
john edwards;60218
bobby irwin;31707
richard dunn;8865
lee goodall;31709
martin winning;31710
matt holland;9932
noah bless;22131
linda caballero;31769
luis quintero;31772
jesus quintero;31774
richard viruet;31776
daniel berroa;31778
david miller;31782
luis columna;31784
angel romero;31785
gonzalo martinez;31786
leonardo blanco;31789
nelson hernandez;31790
domedes motos;31792
milton "bituca" nascimento;141
arthur maia;3959
gilberto gil;3983
sergio chiavazzoli;3989
claudio andrade;3991
gustavo di dalva;3992
jorge gomez;17755
lincoln cheib;25828
marco lobo;29821
kiko continentino;29823
paulo guimaraes;31825
carlinhos brown;928
elber;6127
marquinhos marques;6130
cacau alves;7580
juninho costa;7585
gerson silva;10282
boghan costa;26995
andre t;31832
vandinho carvalho;31833
betao aguiar;31836
andre jesus;31839
dedé reis;31842
sinhô;31843
roninho scott;31845
kika;31847
furunga;31848
samuel rosa;29797
henrique portugal;31860
lelo zanetti;31862
haroldo ferretti;31863
ramiro musotto;31865
jorge continentino;31867
paulo costa;31869
wagner mayer;31870
jorge ben jor;2948
lourival costa;23784
joão josé lucrécio;29155
eduardo helbourn;8960
neném da cuica;23794
james muller;29158
jean arnoult;27144
marcos desantis;31857
sherry mcghee;11377
donnie mcclurkin;31899
dana davis;31905
kevin bond;31906
andrea mellini;31908
duwane starling;31910
tc bereal;31915
terrence herd;31917
armand davis;31918
desabata robinson;31919
marcus miller;120
michael "patches" stewart;5541
dean brown;5892
gerald brown;14518
leroy scooter taylor;31897
herbie hancock;628
matt garrison;6346
terri lyne carrington;7726
wallace roney;21256
darrell diaz;31883
dj disk;31886
rachelle ferrell;1112
little john roberts;1117
byron miller;29371
russell barnes;29374
phil davis;31946
dianne reeves;1010
mark simmons;4929
reginald veal;7225
munyungo jackson;20415
otmaro ruíz;25114
christian mcbride;1611
chester thompson;2432
siedah garrett;12184
gabriela anders;30146
james morrison;4066
wayne shorter;2112
danilo perez;10401
john patitucci;8080
chick corea;1454
bobby mcferrin;3946
jeff ballard;4444
avishai cohen;28101
trilok gurtu;1938
hilaire penda;19840
sabine kabongo;23159
ravi chary;31992
amit heri;31994
john mclaughlin;185
zakir hussain;6389
v. selvaganesh;9028
u. srinivas;9025
bhavani shankar;32006
debashish bhattacharya;32008
shankar mahadevan;9027
tomatito;21177
derek jones;13990
damon harris;32092
walter lee jones, jr.;32094
clayton hooker;32096
terrance forsythe;32097
walter carter;32098
ronnie nelson;32099
michael modock;32100
freddie hutson;32101
nathaniel nolan;32102
martinus montgomery;32104
jerry carr;32107
klaus doldinger;2958
biboul darouiche;5766
wolfgang schmid;13026
kristian schultze;13975
ernst stroer;22509
kurt cress;32081
robert di gioia;32085
peter o`mara;32087
christian lettner;32088
leonardo govin;894
alejandro paneta;897
rodrigo rodriguez;898
carlos irarragorri;900
cesar correa;901
massimo guerra;903
alfredo de la fé;15842
celia cruz;19235
dudu penz;26381
pedro knight;32062
jose armando miranda;32064
elvio ghigliordini;32066
carmine pagano;32067
luis aballe marrero;32075
gian carlo ciminelli;32077
vernon reid;4959
doug wimbish;4964
corey glover;4966
run;32176
darryl matthews "dmc" mcdaniels;32203
jam master jay;32204
george aka dr. funkenstein clinton;32153
robert "p-nut" johnson;24678
steve boyd;8203
sheila horn;32168
belita woods;8202
garry shider;20944
clip payne;8198
frankie "kash" waddy;2352
ron wright;8525
scott taylor;32161
jerome rodgers;32160
joel "razor sharp" johnson;2356
eric mcfadden;32157
lige curry;20946
dewayne "blackbyrd" mcknight;2344
michael "kidd funkadelic" hampton;8192
billy bass nelson;8193
ronkat spearman;8194
jeff beck;519
jennifer batten;32237
randy hope-taylor;18386
andy gangadeen;32244
sting;311
jason rebello;525
ben butler;2019
kipper;32245
russ david;32246
chris botti;6535
manu katché;25755
roy haynes;3008
kenny garrett;3006
nicholas payton;23386
dave kikoski;33599
chano dominguez;11060
guillermo mcgill;33601
tomasito;33602
israel suárez "el piraña";6531
blas "el keijo" cordoba;33605
pablo martin;8036
jonatha brooke;3838
geoffrey moore;11063
darren embry;11064
larry aberman;10343
nicky moroch;868
ricky peterson;870
tom barney;10342
don alias;7725
david thomas;11099
cedric dent;11100
alvin chea;22891
mark kibble;11078
joey kibble;11089
claude mcknight;11097
jethra penix;11105
darrell tibbs;11106
alton ellis;10604
michael prophet;10606
dennis alcapone;10607
lionel anderson;10608
don chandler;4497
derek johnson;4496
henry hodler;10611
ray carless;10612
henry "buttons" tenyue;3289
junior reid;1043
everton wilson;10619
janet denton;10620
roy lascelles;10621
owen mardner;10622
roger grant;10624
capleton;10631
ian forrester;10638
gerald thomas;10639
garfield gabbay;10640
jah thunder;10626
bongo herman;10641
norman brammer;10642
michael franti;8172
wood rowe farguheson, jr.;10649
dave shul;8177
carl young;8178
kevin choice;10652
manas itiene;8174
rahzel;10657
ajile turner;10661
dj js-1;10662
bilal;1479
candice anderson;5481
deon "finesse" miller;10674
leron thomas;10675
lamont calwell;10676
robert glasper;2237
steven mackie;10678
mike jolicoeur;10698
common;6649
kenyetta snyder;10700
andre "dj dummy" smith;6660
butcho "bob" vukovic;10703
manu;10704
frédéric "fred" duquesne;10705
julien "pendule" grunberg;10706
jacques "keuj" sahuguedej;10707
max cavalera;10708
mikey doling;10713
cello dias;10714
roy mayorga;10715
tom araya;10722
jeff hanneman;10723
kerry king;10724
dave lombardo;10725
markus acher;10734
martin gretschmann;10728
ulrich wangenheim;10736
gerhart gschloessl;10737
stephan schreiber;10738
max ehwald;10739
micha acher;10726
mecki messerschmid;10742
matthew bellamy;10743
christopher wolstenholme;10745
dominic howard;10746
matt sims;10749
erin giraud;10750
lisa eaton;10751
miss kittin;33618
the hacker;33619
vitalic;33620
gemma hayes;10769
david odlum;10770
karl odlum;10771
fiona melady;10772
graham hopkins;10773
kurt wagner;4414
alexander mcmanus;10776
william tyler;4420
matthew swanson;10778
paul nieohaus;10779
tony crow;4421
samuel baker;10781
jonathan donahue;10783
sean mackowiak;10784
michael schirmer;10785
carlos molina;10786
paul dillon;10787
jeffrey mercell;10788
paul butler;8370
aaron fletcher;8371
warren hampshire;8375
chris birkin;10795
tim parkin;10796
andy parkin;10797
steve colley;10798
tjinder singh;10801
pete downing;10802
sheema mukherjee;10803
james milne;10804
ben ayers;10805
pete bengry;10806
nick simms;10807
john mccrea;10808
xan mccurdy;10813
vincent difiore;10814
gabe nelson;10815
pete mcneal;10816
yukimi nagano;5623
mattias stahl;10822
magnus zingmark;5620
oscar simonsson;10824
martin hoper;5627
ola bothzen;5625
simon niblock;10832
alexander moles;10833
martin williams;2580
dave o'higgins;10835
bob mckay;10836
chris storr;10837
graham russell;10838
andrew cook;10839
adam linsley;10840
patrick hartley;7795
chris cole;10842
john higginbotham;10844
trevor mires;60220
phil parnell;5614
dave green;10846
pete carter;10847
line kruse;5528
victor kruse;10854
eduardo makaroff;5524
gustavo beytelmann;5520
christina vilallonga;10857
philippe cohen-solal;10858
laurent brifo;10859
pablo tegli;10860
victoria vieyra;10861
irmin schmidt;10865
kumo;10867
esbjörn svensson;489
dan berglund;10884
magnus öström;10885
gary thomas;10886
patrice rushen;4072
matthew garrison;10893
aïda khann;10894
ramon valle;10899
omar rodriguez calvo;10900
julio barreto;10901
cornelius;10902
nobuyuki ohashi;10905
hirohisa horie;10906
yuko araki;10907
nicolas godin;2412
jean-benoît dunckel;2411
jason falkner;10913
brian reitzell;10914
james rotondi;10915
ernesto abreau;10924
duke amayo;10925
victor axelrod;10916
phil ballman;10927
stuart bogie;10928
dylan fusillo;10929
aaron johnson;10930
jordan mclean;10931
luke riverside;59572
martin perna;10933
gabe roth;10934
del stribling;10936
amadou bagayoko;10937
mariam doumbia;10938
hervé samb;10939
boubacar dembelé;10940
laurent griffon;10941
stéphane san juan;10942
ayélé labitey;10943
joëlle koundé;10944
frédéric galliano;10945
hadja kouyate;10947
aissata balde;10952
kaba kouyate;10953
ali boulo santo;10946
lipitone;10955
keba kebe;10956
mousse t.;11011
colin rich;11020
emma lanford;11021
inaya davis;11022
jörg ostermayer;11023
ingo schröder;11024
andreas barkhoff;2926
sven kaiser;11014
martin gontarski;11026
kai lipphardt;11027
matthias meusel;2932
philippe kacza;11029
boris jennings;11030
chris rea;9968
sylvin marc;9970
robert ahwai;9971
ed hession;9972
buddy guy;3012
frank blinkal;9985
jason moynihan;9986
anthohy zmagni;9987
orlando wright;3018
jerry porter;9989
bob weir;9991
rob wasserman;9998
jeff chimenti;9999
mark karan;10000
kenny brooks;10001
jay lane;10002
isaac hayes;3015
charles pitts;7329
gerald jackson;7332
damien savage;10007
benjamin flint;10008
william kurt mitchell;10009
james robertson;7334
samantha may;7326
rhonda thomas;10012
frederick sayers;10013
charles dennis;1104
bob stannard;58126
chris kleeman;58127
kotaro oshio;8760
galen henson;10043
matt bissonette;10044
